repository,first_commit_date,last_commit_date,active_days,duration_days,total_commits,commits_before_hackathon,userAgeYears,activeDaysLastYear,networks,mentions_x402,error_reason
https://github.com/mbarbosa30/x4llet,2025-11-04,2026-01-02,38,59,2690,1403,9.93,14,"Base, Celo, Gnosis, Arbitrum",FALSE,
https://github.com/marcelosalloum/x402,2025-02-16,2025-12-01,128,288,316,316,13.49,177,,TRUE,
https://github.com/CompassMB/MBCompass,2024-07-18,2026-01-02,80,533,212,210,0.42,0,,FALSE,
https://github.com/GoSTEAN/velo,2025-09-04,2026-01-04,57,122,218,210,5.75,178,"Starknet, Ethereum, Solana, Bitcoin",FALSE,
https://github.com/nuwa-protocol/x402-exec,2025-10-30,2026-01-05,48,67,249,175,0.65,0,"Base Sepolia, X-Layer Testnet, SKALE Base Sepolia, BSC Testnet, Base Mainnet, X-Layer Mainnet, BSC Mainnet, Ethereum Mainnet",TRUE,
https://github.com/Oops402/oops402,2025-05-16,2026-01-04,44,233,127,109,0.04,0,Base,TRUE,
https://github.com/BadGenius22/Rekon,2025-11-30,2026-01-05,27,36,246,89,3.76,108,Polymarket,TRUE,
https://github.com/2satoshy/micasa,2025-11-05,2026-01-05,15,61,86,82,0.41,17,Base,TRUE,
https://github.com/Arvmor/xByte,2025-11-27,2026-01-06,32,40,372,71,10.02,247,Avalanche,TRUE,
https://github.com/kingksjo/swap-agent,2025-08-16,2025-10-15,20,60,57,57,3.04,102,Base,FALSE,
https://github.com/grmkris/yoda.fun,2025-11-03,2026-01-06,22,64,186,44,10.18,254,"Base, Solana",TRUE,
https://github.com/Optilex-Labs/brolli-x402,2025-08-27,2026-01-03,11,129,58,33,0.34,0,Base,TRUE,
https://github.com/EstherLavender/Grantee,2025-10-27,2025-12-23,10,57,89,26,2.83,22,Avalanche,TRUE,
https://github.com/gurubazawada/Kalshi-x402-contextprovider,2025-10-27,2026-01-05,10,70,31,26,3.43,23,Base,TRUE,
https://github.com/kracked-dev/ora-foro-to,2025-11-13,2025-12-04,5,21,20,20,0.19,6,Solana,TRUE,
https://github.com/pblvrt/pps,2025-11-30,2025-12-12,6,12,51,18,7.75,72,Base,TRUE,
https://github.com/nagavaishak/agent-trust-gateway,2025-11-27,2025-12-11,7,14,17,12,2.88,14,Avalanche,TRUE,
https://github.com/blockchain-lab-um/dataspaces-front-end-demo,2025-02-07,2025-09-24,3,229,11,11,6.9,0,,FALSE,
https://github.com/BlockRunAI/polymarket-agent,2025-04-06,2026-01-06,3,275,56,8,0.04,0,"Base, Polygon",TRUE,
https://github.com/Concorde89/autoincentive,2025-10-26,2025-12-11,3,46,7,6,8.17,8,Solana,TRUE,
https://github.com/mitgajera/x402-ai,2025-12-02,2025-12-22,8,20,31,5,2.32,68,Solana,TRUE,
https://github.com/juanitourquiza/medicProof,2025-10-07,2025-10-08,2,1,4,4,15.48,52,"Polygon, Ethereum",FALSE,
https://github.com/useVega/vega-protocol,2025-11-19,2025-12-15,3,26,6,3,0.06,0,"Base, Base Sepolia, Arbitrum, Ethereum, Solana",TRUE,
https://github.com/dns402/dns402,2025-12-05,2025-12-10,2,5,2,1,0.08,3,Solana,FALSE,
https://github.com/blockpal1/Real-Time-Human-Attention-Marketplace,2025-12-07,2026-01-06,23,30,144,1,3.19,25,Solana,TRUE,
https://github.com/privacymaxi/push,2025-12-09,2025-12-10,2,1,5,0,0.19,9,"Base, Ethereum, Polygon, Arbitrum, Optimism, Avalanche, BSC",TRUE,
https://github.com/weaverofone/ONE-morph-engine,2025-12-08,2025-12-13,5,5,20,0,0.08,5,,TRUE,
https://github.com/bdsntc/Texas-Arena,2025-12-18,2025-12-18,1,0,8,0,1.83,3,,TRUE,
https://github.com/kshitij011/x402-rwa-evm,2025-12-17,2025-12-26,3,9,23,0,6.12,55,Base,TRUE,
https://github.com/themaden/a--data-broker,2025-12-18,2025-12-19,2,1,3,0,3.24,41,Base,TRUE,
https://github.com/Concorde89/sAItoshi,2025-12-19,2025-12-19,1,0,1,0,8.17,8,"Base, Solana",TRUE,
https://github.com/renzo4web/link-sign-402,2025-12-11,2025-12-19,5,8,17,0,5.22,272,,TRUE,
